Variation,use_directional_prop,topology,Seconds_mean,Seconds_std,Val_Pooled_F1_mean,Val_Pooled_F1_std,Val_Pooled_PRAUC_mean,Val_Pooled_PRAUC_std,Val_Macro_F1_mean,Val_Macro_F1_std,Val_Macro_PRAUC_mean,Val_Macro_PRAUC_std,OOT_Pooled_F1_mean,OOT_Pooled_F1_std,OOT_Pooled_PRAUC_mean,OOT_Pooled_PRAUC_std,OOT_Macro_F1_mean,OOT_Macro_F1_std,OOT_Macro_PRAUC_mean,OOT_Macro_PRAUC_std,n_seeds
PCA,True,late,37.70733333333333,0.7295274726378225,0.8641909999999999,0.014389702290179602,0.934552,0.01153782297489433,0.811702,0.002973831367108784,0.880434,0.011821876035553718,0.482712,0.029180364082718346,0.4674496666666666,0.049436170658065055,0.262251,0.012272688254820151,0.304869,0.034290155263573825,3
Base,False,none,27.263333333333335,0.232005028681132,0.864852,0.00877733051673458,0.935724,0.003022455458728827,0.8041273333333333,0.026878441478875487,0.8685863333333333,0.022678813490421668,0.36894933333333335,0.17667566322030132,0.3707613333333333,0.15601089654999525,0.20689000000000002,0.09691298074045603,0.25995366666666664,0.07921235323062516,3
PCA,True,none,38.330000000000005,4.138463120531585,0.8548053333333333,0.011255975183578404,0.9121353333333332,0.024266231049203592,0.8052426666666667,0.01676632763408055,0.8633626666666667,0.011330851086009877,0.45116700000000004,0.04356249284648434,0.43137333333333333,0.05629269274367085,0.24296166666666666,0.029633560304717595,0.2818306666666667,0.039488972908057925,3
Base,False,late,28.531000000000002,0.5030974060756014,0.8524920000000001,0.008764572265661335,0.93016,0.01043257537715406,0.7933313333333333,0.01182045499688291,0.8605576666666667,0.0022987147133416183,0.40969733333333336,0.05026590675928699,0.3693316666666666,0.07140090932427495,0.22715766666666667,0.03026833418497511,0.26530499999999996,0.04399458299609168,3
PCA,True,early,37.529666666666664,0.3415206191920685,0.8575910000000001,0.0054886919206674,0.9247070000000001,0.007684951203488538,0.801186,0.004803164685912876,0.856573,0.013475577278914606,0.4149946666666667,0.09386428865299803,0.38905700000000004,0.12921516830078425,0.224322,0.049864500889911643,0.25965600000000005,0.07379650680757185,3
Base,False,early,28.432666666666666,0.36547548937422863,0.8669053333333334,0.01343976920684773,0.9291733333333333,0.00817870077294267,0.8074150000000001,0.03153053667478559,0.8554293333333334,0.02483011281354426,0.350322,0.07292283027283017,0.31511633333333333,0.12434590427647119,0.19854233333333335,0.0400058187934372,0.226836,0.05391684158961833,3
PCA,False,none,26.37966666666667,0.358391313138773,0.8402533333333334,0.014368652418836399,0.9054676666666667,0.014962902336556684,0.8019013333333334,0.018452556065037023,0.8516626666666666,0.018401414139498473,0.43636500000000006,0.03426893872007126,0.37845733333333337,0.03652656477597272,0.24298933333333336,0.017445676866585977,0.26114299999999996,0.015110607830262815,3
Base,True,early,36.814,0.704543114365618,0.8698353333333334,0.018044041463412038,0.9320536666666666,0.014490863926396319,0.799529,0.016917764509532605,0.8485763333333334,0.017868654127642953,0.36212466666666665,0.01643526374395415,0.36129133333333335,0.05336454813200736,0.1885,0.014443009762511427,0.22925733333333334,0.023008217713098366,3
Base,True,late,37.419000000000004,0.493212935758991,0.872116,0.02671445850096908,0.9387983333333333,0.015222823664922768,0.7927580000000001,0.04285641164400019,0.8425673333333333,0.03502914409935436,0.33582833333333334,0.06353793427814075,0.3104496666666667,0.09379701524746581,0.16688333333333336,0.038438643906013814,0.21272666666666665,0.035915744518711205,3
Base,True,none,35.355,0.6925193138100889,0.8610706666666667,0.00566117040313514,0.9331266666666668,0.015446932780760533,0.7814753333333333,0.02166525996459154,0.8400276666666667,0.01883120166992362,0.365859,0.04578248391033408,0.3472203333333333,0.0901297933334662,0.19502066666666665,0.026946193318042794,0.22753633333333334,0.04696872295829782,3
PCA,False,early,27.605,0.3660505429582098,0.8350853333333333,0.015867799164765505,0.9013923333333334,0.01517162187550605,0.7830123333333333,0.02666267121526522,0.8334966666666667,0.028079672226244596,0.3502526666666667,0.08386624429610125,0.30646366666666663,0.07820335280749371,0.20466399999999998,0.041187122951233196,0.254369,0.0502652524115815,3
PCA,False,late,28.370666666666665,1.0462056840475153,0.8296359999999999,0.02142426036062851,0.8983653333333333,0.018110638650620084,0.7781776666666667,0.014395088826864997,0.8238340000000001,0.021063504480499026,0.3960540000000001,0.07177394201937079,0.36918066666666666,0.1000914438617674,0.23172933333333331,0.03956775836882011,0.28441666666666665,0.06890810115895905,3
