tau,mmd,wasserstein_pca
2,0.008215189,1.2896006215442897
3,0.010477424,1.7392607016164363
4,0.014279604,1.762337793004767
5,0.012187362,2.1902229566675513
6,0.017969012,2.62109978716403
7,0.028321624,2.5993479613881423
8,0.0071644783,1.5501459495331793
9,0.015987158,0.8048166426982021
10,0.009119749,1.3215942310028541
11,0.0077620745,1.2214781819417753
12,0.015968561,2.0852440385618145
13,0.012931585,1.8441068438540007
14,0.007845521,1.3837427975720855
15,0.008448601,1.7415891377569028
16,0.001042366,1.04117135162995
17,0.01783359,1.4056679076183272
18,0.0057199,1.6512129180280688
19,0.012175202,2.4403153236738753
20,0.0104448795,2.4817078136643502
21,0.006682396,1.3301305604513702
22,0.00415504,1.8652557297238996
23,0.003606677,1.147840418777313
24,0.004624605,2.277255498810831
25,0.021594644,3.392452078593539
26,0.00505805,1.8856285812395994
27,0.013042569,1.5276664492895142
28,0.006132126,1.6199802291598873
29,0.0062422752,1.944487404095851
30,0.0055646896,2.4812287488862643
31,0.005779743,1.3910793725263413
32,0.0006079674,1.0078889922354475
33,0.008586049,1.1211532757113654
34,0.014263988,1.1429743160505317
35,0.0028432608,1.4247512849287671
36,0.006492257,2.1924102657427555
37,0.011638761,1.2902807075959055
38,0.004951954,1.16599640653919
39,0.009884119,2.108455726226349
40,0.009926677,2.378241267784526
41,0.02199614,1.5183798557338999
42,0.0034310818,0.9319462362387658
43,0.012828827,1.0705916894096923
44,0.040604115,1.406146193607707
45,0.015034676,2.509493142656075
46,0.029491901,2.7900910848616114
47,0.020243049,1.4387144995200678
48,0.012165308,1.1784332159639936
49,0.008205175,1.8094721865284022
